MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes,latitude,longitude
Coll de Nargó,0,228,0,0,0,112,340,42.1739087,1.3161338
Collbató,0,0,414,199,31,1525,2169,41.570256,1.8285814
Colldejou,0,67,56,0,0,0,123,41.0991567,0.8875766
Collsuspina,0,0,0,0,0,226,226,41.8260718,2.174353
Colomers,0,0,0,0,0,88,88,42.0841561,2.9870811
Coma i la Pedra,0,0,57,0,0,116,173,42.1758114,1.5914256
Conca de Dalt,0,0,0,0,0,147,147,42.2310615,1.0565329
Conesa,0,0,0,0,0,42,42,41.5190356,1.2913382
Constantí,1472,0,224,108,116,589,2509,41.1528113,1.2151822
Copons,0,0,11,0,0,191,202,41.6363657,1.5179333
Corbera d'Ebre,0,143,116,0,79,268,606,41.0775819,0.4776725
Corbera de Llobregat,0,2151,0,548,213,3300,6212,41.4164771,1.927753
Corbins,0,0,0,0,0,708,708,41.6905677,0.6930804
Cornellà de Llobregat,18184,5387,0,3813,1820,8936,38140,41.355724,2.0706225
Cornellà del Terri,0,0,0,0,0,1326,1326,42.0898363,2.8157343
Cornudella de Montsant,0,402,147,0,0,0,549,41.2656573,0.9057114
Corçà,40,0,0,0,0,722,762,41.9893624,3.0170799
Creixell,312,205,386,0,273,347,1523,41.1677349,1.4407074
Crespià,0,0,0,0,0,140,140,42.1877796,2.7982926
"Cruïlles, Monells i Sant Sadurní de l'Heura",0,0,0,0,0,626,626,41.9558251,3.0114014
Cubelles,1037,790,664,691,254,3044,6480,41.2083363,1.6730541
Cubells,0,89,137,0,0,0,226,41.8526897,0.9587685
Cunit,1166,772,0,878,199,1825,4840,41.197596,1.6344596
Cànoves i Samalús,549,206,0,0,0,998,1753,41.7072824,2.3382536
Darnius,0,0,0,0,0,297,297,42.3665352,2.8337409
Das,0,0,0,0,0,215,215,42.3636176,1.8713459
Deltebre,0,0,0,88,0,6279,6367,40.7203938,0.7243445
Dosrius,814,723,0,156,123,877,2693,41.594347,2.4063166
Duesaigües,0,0,0,0,24,147,171,41.1457974,0.9305023
Escala,0,566,0,0,0,3315,3881,41.6378899,2.1623879
Esparreguera,3802,1485,700,888,276,2858,10009,41.5393249,1.8694549
Espinelves,0,0,0,0,0,110,110,41.8689558,2.4173566
Espluga Calba,0,0,0,0,0,136,136,41.4958498,1.0039347
Espluga de Francolí,0,0,0,0,0,2034,2034,41.4004742,1.1032654
Esplugues de Llobregat,9525,0,0,2527,1283,8833,22168,41.3776796,2.0899722
Espolla,0,0,0,0,0,230,230,42.3893146,2.9994355
Esponellà,0,0,0,0,0,274,274,42.1773757,2.7955223
Espot,0,54,0,0,0,191,245,42.5762878,1.0884847
Espunyola,0,0,0,0,0,172,172,42.0530138,1.7698522
Esquirol,0,0,0,0,0,1210,1210,42.0340216,2.3697082
Estamariu,0,0,0,0,0,53,53,42.3750366,1.5237335
Estany,0,173,0,0,0,89,262,41.8701712,2.1133532
Estaràs,0,0,52,0,0,51,103,41.6918538,1.3782786
Esterri d'Àneu,0,255,0,0,0,129,384,42.6274685,1.1228821
Esterri de Cardós,0,0,0,0,0,47,47,42.5924733,1.2620454
Falset,0,0,134,0,0,1384,1518,41.1450982,0.8196237
Far d'Empordà,0,318,0,0,0,56,374,42.2511629,2.9963544
Farrera,0,0,0,0,0,73,73,42.4969344,1.27255
Fatarella,0,0,166,0,0,421,587,41.1625016,0.4734986
Febró,7,0,0,0,0,22,29,41.2772556,1.0039681
Figaró-Montmany,0,0,0,0,0,543,543,41.7098219,2.253646
Figuera,3,0,0,0,0,61,64,41.7624717,1.614954
Figueres,2489,3232,0,1384,671,7809,15585,42.2666314,2.9638434
Figuerola del Camp,0,0,0,0,0,138,138,41.3720741,1.265571
Flaçà,0,0,0,0,0,533,533,42.0456854,2.9569565
Flix,0,0,373,0,0,1597,1970,41.2340447,0.5560861
Floresta,0,0,0,0,0,93,93,41.6114107,0.6302673
Fogars de Montclús,0,93,181,0,0,0,274,41.7471608,2.4394274
Fogars de la Selva,0,131,0,0,0,569,700,41.7342133,2.6728108
Foixà,0,0,0,0,0,161,161,42.0388268,2.9973628
Folgueroles,0,0,0,0,0,1363,1363,41.9392868,2.3180742
Fondarella,0,0,316,0,0,149,465,41.6342812,0.8739685
Fonollosa,0,0,0,0,0,669,669,41.7626001,1.6678299
Font-rubí,0,266,0,0,0,465,731,41.4365689,1.5878667
Fontanals de Cerdanya,0,0,0,0,0,215,215,42.3840589,1.9118567
Fontanilles,0,0,0,0,0,69,69,42.0111362,3.1065584
Fontcoberta,0,0,0,0,0,872,872,42.1425379,2.7897817
Foradada,0,0,98,0,0,8,106,41.876869,1.0131802
Forallac,0,0,0,43,0,957,1000,41.9405813,3.0817246
Fornells de la Selva,0,338,0,0,34,1163,1535,41.9319675,2.8090343
Fortià,122,0,0,0,0,281,403,42.2424345,3.0404198
Forès,0,0,29,0,0,0,29,41.4941385,1.2378499
Franqueses del Vallès,2280,0,0,799,176,5061,8316,41.6475034,2.3066306
Freginals,0,0,169,0,0,51,220,40.6715945,0.5202611
Fuliola,0,0,0,0,0,678,678,41.7143699,1.0187145
Fulleda,0,0,0,0,0,58,58,41.4634427,1.024406
Fígols,0,16,0,0,0,23,39,42.1809467,1.8366637
Fígols i Alinyà,0,84,0,0,0,93,177,42.2068675,1.3889096
Gaià,0,53,0,0,0,54,107,41.9160989,1.9255287
Galera,0,120,324,0,0,0,444,41.9127559,1.8885014
Gallifa,0,27,0,0,0,167,194,41.6937007,2.1164334
Gandesa,67,0,806,0,127,558,1558,41.0520413,0.4388956
Garcia,0,0,81,0,0,195,276,41.1358922,0.6517192
Garidells,4,0,0,0,0,96,100,41.2071322,1.2471593
Garriga,1016,0,2519,660,0,4181,8376,41.6849111,2.2865796
Garrigoles,0,38,0,0,1,52,91,42.1071682,3.030074
Garriguella,0,0,210,0,0,288,498,42.3446368,3.0642397
Garrigàs,0,0,188,0,0,0,188,42.1929222,2.9539294
Gavet de la Conca,0,45,0,0,0,132,177,42.123377,0.9202116
Gavà,8726,0,1222,2363,1069,7247,20627,41.3050933,2.0063126
Gelida,0,1044,217,151,50,2253,3715,41.4408877,1.8634309
Ger,0,64,0,0,0,182,246,42.4115726,1.8472085
Gimenells i el Pla de la Font,0,0,0,0,306,365,671,41.6714077,0.3842872
Ginestar,0,290,0,0,0,0,290,41.0432752,0.6356284
Girona,8123,6289,0,2891,1429,24419,43151,41.9793006,2.8199439
Gironella,149,0,0,0,23,2473,2645,42.0337588,1.8825316
Gisclareny,0,20,0,0,0,0,20,42.249978,1.7866137
Godall,0,0,0,0,42,410,452,40.6553486,0.4693771
Golmés,0,0,623,0,0,336,959,41.6331288,0.9321508
Gombrèn,0,0,0,0,0,122,122,42.2484304,2.0905975
Granada,168,0,474,0,0,505,1147,41.3766679,1.7186912
Granadella,0,0,0,0,0,483,483,41.3555437,0.6648954
Granera,0,15,0,0,0,36,51,41.7255146,2.0570042
Granja d'Escarp,0,0,0,0,41,355,396,41.4187382,0.3475385
Granollers,11974,4206,3600,2538,832,4469,27619,41.6079555,2.2876008
Granyanella,0,0,45,0,0,1,46,41.6485431,1.2236395
Granyena de Segarra,0,0,64,0,0,1,65,41.6238745,1.2461381
Granyena de les Garrigues,0,0,64,0,0,5,69,41.4329666,0.6491956
Gratallops,0,0,0,0,0,117,117,41.1934056,0.7768701
Gualba,0,0,385,0,0,365,750,41.7321147,2.5018684
Gualta,0,66,0,0,5,131,202,42.029638,3.1037954
Guardiola de Berguedà,0,0,0,0,0,522,522,42.2338584,1.8792389
Guiamets,0,0,0,0,0,182,182,41.1014359,0.7512122
Guils de Cerdanya,0,60,0,0,0,266,326,42.4479402,1.879737
Guimerà,0,0,0,0,0,160,160,41.5646664,1.1834968
Guingueta d'Àneu,0,0,0,0,0,196,196,42.5945266,1.1313477
Guissona,357,542,705,0,0,299,1903,41.785242,1.289032
Guixers,2,0,0,0,0,146,148,42.1435607,1.6678083
Gurb,0,0,0,0,0,1622,1622,41.9409869,2.2433019
Gósol,4,0,0,0,0,114,118,42.2365129,1.6605511
Horta de Sant Joan,0,0,335,0,0,405,740,40.9554904,0.315402
Hospitalet de Llobregat,43696,16342,3486,11899,5199,19741,100363,41.3598601,2.0997927
Hostalets de Pierola,0,600,264,60,34,527,1485,41.5592355,1.7965474
Hostalric,128,0,0,0,0,1975,2103,41.7451889,2.6330963
Igualada,0,4217,7503,1082,651,5650,19103,41.5790182,1.617346
Isona i Conca Dellà,0,0,0,0,0,616,616,42.1290793,1.0046633
Isòvol,0,0,0,0,0,167,167,42.3781028,1.8175789
Ivars d'Urgell,0,0,407,0,0,454,861,41.6809224,0.986114
Ivars de Noguera,0,0,154,0,0,0,154,41.8499999,0.5860625
Ivorra,0,69,0,0,0,0,69,41.7720734,1.3949562
Jafre,0,0,0,0,0,233,233,42.0726347,3.0107448
Jonquera,117,463,481,131,0,0,1192,42.3786952,1.7191297
Jorba,0,263,164,0,0,0,427,41.6014534,1.547408
Josa i Tuixén,0,0,0,0,0,80,80,42.2449099,1.5879768
Juià,0,0,0,0,0,173,173,42.0172969,2.9067184
Juncosa,0,0,0,0,0,175,175,41.3715158,0.7753498
Juneda,216,0,0,0,0,1506,1722,41.5485218,0.8245593
Les,0,0,0,0,0,495,495,42.8126854,0.7118311
Linyola,0,781,547,0,0,0,1328,41.7104501,0.9037626
Llacuna,0,0,0,0,0,483,483,41.3993586,2.1976986
Lladorre,0,28,0,0,0,122,150,42.6209464,1.2494301
Lladurs,3,33,87,0,0,35,158,42.044734,1.508155
Lladó,0,287,0,0,0,0,287,42.2478898,2.8120781
Llagosta,3931,578,0,356,217,884,5966,41.5139877,2.1912073
Llagostera,385,1128,0,169,0,1982,3664,41.8289064,2.8920386
Llambilles,0,0,0,0,0,445,445,41.9204519,2.8540402
Llanars,0,247,0,0,0,0,247,42.3207265,2.344001
Llançà,560,760,707,0,0,479,2506,42.3617316,3.1511804
Llardecans,0,0,0,0,0,237,237,41.3742018,0.5509848
Llavorsí,0,0,0,0,0,256,256,42.4957479,1.210519
Lleida,0,13402,0,5521,3416,33653,55992,41.6147605,0.6267842
Llers,0,0,412,0,0,210,622,42.2956869,2.9114592
Lles de Cerdanya,0,0,0,0,0,130,130,42.3903804,1.6875851
Llimiana,0,0,0,0,0,149,149,42.0750605,0.91585
Llinars del Vallès,663,2819,321,481,0,388,4672,41.6383547,2.4033771
Lliçà d'Amunt,2864,1812,396,527,318,1212,7129,41.6116458,2.2393525
Lliçà de Vall,710,911,731,409,109,501,3371,41.5915542,2.2422403
Lloar,3,0,48,0,0,0,51,41.185269,0.7505207
Llobera,1,56,66,0,0,52,175,41.9509343,1.4723539
Llorac,7,19,40,0,0,0,66,41.5561484,1.3071491
Llorenç del Penedès,222,101,527,0,0,337,1187,41.2831394,1.5533507
Lloret de Mar,2151,1488,0,1682,413,5830,11564,41.6973503,2.8392392
Llosses,0,69,0,0,0,51,120,42.1506279,2.1166718
Lluçà,0,0,0,0,0,113,113,42.0671674,2.0482158
Llívia,0,0,0,0,0,717,717,42.4640786,1.9804293
Madremanya,0,0,0,0,0,142,142,41.9900799,2.9568764
Maials,0,215,0,0,0,308,523,41.3640737,0.5053309
Maià de Montcal,0,0,0,0,0,151,151,42.2221769,2.7431144
Maldà,0,0,0,0,1,181,182,41.5505618,1.0396632
Malgrat de Mar,3125,1366,0,398,342,3353,8584,41.6459118,2.7414054
Malla,0,0,0,0,0,182,182,41.887016,2.2354564
Manlleu,1249,0,0,346,0,6648,8243,41.9999811,2.2841159
Manresa,4743,9119,0,2282,840,15170,32154,41.7288939,1.8286765
Margalef,2,0,51,0,0,0,53,41.2854434,0.7537968
