Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean,Streaming_Artist_Clean,Airplay_Artist_Clean
2010,22.0,June 6,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,23.0,June 13,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,24.0,June 20,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,25.0,June 27,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,26.0,July 4,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,27.0,July 11,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,28.0,July 18,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,29.0,July 25,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,30.0,August 1,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,31.0,August 8,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,32.0,August 15,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,33.0,August 22,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,34.0,August 29,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,35.0,September 5,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,36.0,September 12,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
2010,37.0,September 19,Shakira(feat.Freshlyground),"""Waka Waka (This Time for Africa)""",,,Waka Waka,,Shakira(feat.Freshlyground),
