Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
2012,24.0,June 17,Cali y El Dandee(feat.David Bisbal),"""No Hay 2 Sin 3 (Gol)""",,,No Hay 2 Sin 3,
2012,25.0,June 24,Cali y El Dandee,"""Yo Te Esperaré""",,,Yo Te Esperaré,
2012,26.0,July 1,Alejandro Sanz,"""No Me Compares""",,,No Me Compares,
2012,27.0,July 8,Cali & El Dandee(feat. David Bisbal),"""No Hay 2 Sin 3 (Gol)""",,,No Hay 2 Sin 3,
2012,28.0,July 15,Tacabro,"""Tacatá""",,,Tacatá,
2012,29.0,July 22,Tacabro,"""Tacatá""",,,Tacatá,
2012,30.0,July 29,Tacabro,"""Tacatá""",,,Tacatá,
2012,31.0,August 5,Tacabro,"""Tacatá""",,,Tacatá,
2012,32.0,August 12,Tacabro,"""Tacatá""",,,Tacatá,
2012,33.0,August 19,Tacabro,"""Tacatá""",,,Tacatá,
2012,34.0,August 26,Tacabro,"""Tacatá""",,,Tacatá,
2012,35.0,September 2,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,
2012,36.0,September 9,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,
2012,37.0,September 16,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,
2012,38.0,September 23,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,
2012,39.0,September 30,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,
2012,40.0,October 7,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,
2012,41.0,October 14,Juan Magan(feat.Belinda),"""Te Voy A Esperar""",,,Te Voy A Esperar,
2012,42.0,October 21,Robert Ramírez,"""You Are Not Alone""",,,You Are Not Alone,
2012,43.0,October 28,Juan Magan(feat. Belinda),"""Te Voy a Esperar""",,,Te Voy a Esperar,
2012,44.0,November 4,Juan Magan(feat. Belinda),"""Te Voy a Esperar""",,,Te Voy a Esperar,
2012,45.0,November 11,Juan Magan(feat. Belinda),"""Te Voy a Esperar""",,,Te Voy a Esperar,
2012,46.0,November 18,PSY,"""Gangnam Style""",,,Gangnam Style,
2012,47.0,November 25,PSY,"""Gangnam Style""",,,Gangnam Style,
2012,48.0,December 2,PSY,"""Gangnam Style""",,,Gangnam Style,
2012,49.0,December 9,PSY,"""Gangnam Style""",,,Gangnam Style,
2012,50.0,December 16,PSY,"""Gangnam Style""",,,Gangnam Style,
2012,51.0,December 23,PSY,"""Gangnam Style""",,,Gangnam Style,
2012,52.0,December 30,PSY,"""Gangnam Style""",,,Gangnam Style,
2013,1.0,January 6,PSY,"""Gangnam Style""",,,Gangnam Style,
2013,2.0,January 13,PSY,"""Gangnam Style""",,,Gangnam Style,
2013,3.0,January 20,PSY,"""Gangnam Style""",,,Gangnam Style,
2013,4.0,January 27,PSY,"""Gangnam Style""",,,Gangnam Style,
2013,5.0,February 3,PSY,"""Gangnam Style""",,,Gangnam Style,
2013,6.0,February 10,Pablo Alborán,El Beso,,,El Beso,
2013,7.0,February 17,Pablo Alborán,El Beso,,,El Beso,
2013,8.0,February 24,will.i.am(feat.Britney Spears),"""Scream & Shout""",,,Scream & Shout,
2013,9.0,March 3,Malú(feat. Pablo Alborán),"""Vuelvo a verte""",,,Vuelvo a verte,
2013,10.0,March 10,Yandar & Yostin(feat.Andy Rivera),"""Te Pintaron Pajaritos""",,,Te Pintaron Pajaritos,
2013,11.0,March 17,Yandar & Yostin(feat.Andy Rivera),"""Te Pintaron Pajaritos""",,,Te Pintaron Pajaritos,
2013,12.0,March 24,Pink,"""Try""",,,Try,
2013,13.0,March 31,Pink,"""Try""",,,Try,
2013,14.0,April 7,Pink,"""Try""",,,Try,
2013,15.0,April 14,Pitbull(feat.Christina Aguilera),"""Feel This Moment""",,,Feel This Moment,
2013,16.0,April 21,Pitbull(feat.Christina Aguilera),"""Feel This Moment""",,,Feel This Moment,
2013,17.0,April 28,Pitbull(feat.Christina Aguilera),"""Feel This Moment""",,,Feel This Moment,
2013,18.0,May 5,Pitbull(feat.Christina Aguilera),"""Feel This Moment""",,,Feel This Moment,
2013,19.0,May 12,Pablo Alborán,"""Quién""",,,Quién,
2013,20.0,May 19,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,
2013,21.0,May 26,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,
